"id","usid"
189010198,189010198
189010214,189010198
189010214,189010214
189010382,189010382
189010384,189010384
189010440,189010198
189010440,189010214
189010440,189010440
189010442,189010442
189010501,189010501
189010503,189010503
189010518,189010518
189010520,189010520
189010568,189010568
189010638,189010638
189010640,189010640
189010648,189010648
189010650,189010650
189010660,189010660
189010662,189010648
189010662,189010650
189010662,189010662
189010667,189010667
189010679,189010667
189010679,189010679
189010729,189010638
189010729,189010640
189010729,189010729
189010731,189010568
189010731,189010731
189010792,189010792
189010814,189010814
189010814,189069776
189010866,189010866
189010894,189010667
189010894,189010679
189010894,189010894
189010896,189010896
189010987,189010987
189010989,189010989
189011080,189011080
189011082,189011082
189011115,189010648
189011115,189010650
189011115,189010660
189011115,189010662
189011115,189011115
189011117,189010987
189011117,189010989
189011117,189011117
189011162,189011162
189011172,189011172
189011185,189011185
189011191,189011191
189011192,189010648
189011192,189010650
189011192,189010660
189011192,189010662
189011192,189010987
189011192,189010989
189011192,189011115
189011192,189011117
189011192,189011192
189011194,189011194
189011224,189011224
189011224,189069952
189011246,189011246
189011312,189011312
189011316,189011316
189011324,189011316
189011324,189011324
189011325,189011312
189011325,189011325
189011347,189011347
189011347,189011356
189011348,189011312
189011348,189011316
189011348,189011324
189011348,189011325
189011348,189011348
189011356,189011356
189011370,189011080
189011370,189011082
189011370,189011370
189011372,189010568
189011372,189010638
189011372,189010640
189011372,189010729
189011372,189010731
189011372,189011372
189011376,189011246
189011376,189011376
189011403,189011403
189011408,189011408
189011422,189010568
189011422,189010638
189011422,189010640
189011422,189010729
189011422,189010731
189011422,189011080
189011422,189011082
189011422,189011370
189011422,189011372
189011422,189011422
189011423,189011423
189011455,189011455
189011462,189011462
189011470,189011312
189011470,189011316
189011470,189011324
189011470,189011325
189011470,189011347
189011470,189011348
189011470,189011356
189011470,189011470
189011480,189011480
189011491,189011491
189011493,189011185
189011493,189011493
189011502,189010648
189011502,189010650
189011502,189010660
189011502,189010662
189011502,189010987
189011502,189010989
189011502,189011115
189011502,189011117
189011502,189011192
189011502,189011194
189011502,189011502
189011508,189010568
189011508,189010638
189011508,189010640
189011508,189010729
189011508,189010731
189011508,189011080
189011508,189011082
189011508,189011370
189011508,189011372
189011508,189011422
189011508,189011423
189011508,189011508
189011527,189011527
189011542,189011312
189011542,189011316
189011542,189011324
189011542,189011325
189011542,189011347
189011542,189011348
189011542,189011356
189011542,189011470
189011542,189011542
189011544,189011403
189011544,189011544
189011555,189010198
189011555,189010214
189011555,189010382
189011555,189010384
189011555,189010440
189011555,189010442
189011555,189010501
189011555,189010503
189011555,189010518
189011555,189010520
189011555,189010792
189011555,189010866
189011555,189011162
189011555,189011172
189011555,189011246
189011555,189011376
189011555,189011555
189011555,189069743
189011555,189069746
189011555,189069751
189011555,189069755
189011555,189069759
189011555,189069760
189011555,189069762
189011555,189069763
189011555,189069765
189011555,189069766
189011555,189069767
189011555,189069774
189011555,189069775
189011555,189069779
189011555,189069784
189011555,189069785
189011555,189069789
189011555,189069792
189011555,189069795
189011555,189069797
189011555,189069806
189011555,189069807
189011555,189069809
189011555,189069815
189011555,189069817
189011555,189069828
189011555,189069829
189011555,189069837
189011555,189069853
189011555,189069959
189011570,189011570
189011588,189011588
189011597,189011597
189011601,189010648
189011601,189010650
189011601,189010660
189011601,189010662
189011601,189010987
189011601,189010989
189011601,189011115
189011601,189011117
189011601,189011192
189011601,189011194
189011601,189011502
189011601,189011601
189011602,189010198
189011602,189010214
189011602,189010382
189011602,189010384
189011602,189010440
189011602,189010442
189011602,189010501
189011602,189010503
189011602,189010518
189011602,189010520
189011602,189010792
189011602,189010866
189011602,189011162
189011602,189011172
189011602,189011246
189011602,189011376
189011602,189011555
189011602,189011602
189011602,189069743
189011602,189069746
189011602,189069751
189011602,189069755
189011602,189069759
189011602,189069760
189011602,189069762
189011602,189069763
189011602,189069765
189011602,189069766
189011602,189069767
189011602,189069774
189011602,189069775
189011602,189069779
189011602,189069784
189011602,189069785
189011602,189069789
189011602,189069792
189011602,189069795
189011602,189069797
189011602,189069806
189011602,189069807
189011602,189069809
189011602,189069815
189011602,189069817
189011602,189069828
189011602,189069829
189011602,189069837
189011602,189069853
189011602,189069959
189011606,189011462
189011606,189011480
189011606,189011606
189011624,189011527
189011624,189011624
189011625,189010198
189011625,189010214
189011625,189010382
189011625,189010384
189011625,189010440
189011625,189010442
189011625,189010501
189011625,189010503
189011625,189010518
189011625,189010520
189011625,189010648
189011625,189010650
189011625,189010660
189011625,189010662
189011625,189010792
189011625,189010866
189011625,189010987
189011625,189010989
189011625,189011115
189011625,189011117
189011625,189011162
189011625,189011172
189011625,189011192
189011625,189011194
189011625,189011246
189011625,189011376
189011625,189011502
189011625,189011555
189011625,189011601
189011625,189011602
189011625,189011625
189011625,189069743
189011625,189069746
189011625,189069751
189011625,189069755
189011625,189069759
189011625,189069760
189011625,189069762
189011625,189069763
189011625,189069765
189011625,189069766
189011625,189069767
189011625,189069774
189011625,189069775
189011625,189069779
189011625,189069784
189011625,189069785
189011625,189069789
189011625,189069792
189011625,189069795
189011625,189069797
189011625,189069806
189011625,189069807
189011625,189069809
189011625,189069815
189011625,189069817
189011625,189069828
189011625,189069829
189011625,189069837
189011625,189069853
189011625,189069959
189011639,189011639
189011647,189011570
189011647,189011647
189011648,189010198
189011648,189010214
189011648,189010382
189011648,189010384
189011648,189010440
189011648,189010442
189011648,189010501
189011648,189010503
189011648,189010518
189011648,189010520
189011648,189010648
189011648,189010650
189011648,189010660
189011648,189010662
189011648,189010792
189011648,189010866
189011648,189010987
189011648,189010989
189011648,189011115
189011648,189011117
189011648,189011162
189011648,189011172
189011648,189011192
189011648,189011194
189011648,189011246
189011648,189011376
189011648,189011502
189011648,189011527
189011648,189011555
189011648,189011601
189011648,189011602
189011648,189011624
189011648,189011625
189011648,189011648
189011648,189069743
189011648,189069746
189011648,189069751
189011648,189069755
189011648,189069759
189011648,189069760
189011648,189069762
189011648,189069763
189011648,189069765
189011648,189069766
189011648,189069767
189011648,189069774
189011648,189069775
189011648,189069779
189011648,189069784
189011648,189069785
189011648,189069789
189011648,189069792
189011648,189069795
189011648,189069797
189011648,189069806
189011648,189069807
189011648,189069809
189011648,189069815
189011648,189069817
189011648,189069828
189011648,189069829
189011648,189069837
189011648,189069853
189011648,189069959
189011650,189011650
189011661,189011661
189011698,189011312
189011698,189011316
189011698,189011324
189011698,189011325
189011698,189011347
189011698,189011348
189011698,189011356
189011698,189011403
189011698,189011470
189011698,189011542
189011698,189011544
189011698,189011698
189011732,189011732
189011734,189011734
189011737,189011185
189011737,189011491
189011737,189011493
189011737,189011737
189011739,189011462
189011739,189011480
189011739,189011597
189011739,189011606
189011739,189011739
189011740,189011740
189011755,189011650
189011755,189011755
189011757,189011185
189011757,189011462
189011757,189011480
189011757,189011491
189011757,189011493
189011757,189011597
189011757,189011606
189011757,189011737
189011757,189011739
189011757,189011757
